time_min,stage,kind,detail
571.81,outbound,arrive,truck=1;load_kind=flake
600.00,inbound,arrive,truck=1
600.75,outbound,arrive,truck=2;load_kind=flake
605.00,inbound,weigh_in,truck=1
625.00,inbound,unloaded,truck=1
630.00,inbound,depart,truck=1
655.00,sorting,sort_done,truck=1
660.00,inbound,arrive,truck=2
665.00,inbound,weigh_in,truck=2
685.00,inbound,unloaded,truck=2
690.00,inbound,depart,truck=2
697.50,press,pallet_done,pallet=1;buffer=0
715.00,sorting,sort_done,truck=2
720.00,inbound,arrive,truck=3
720.77,outbound,arrive,truck=3;load_kind=scr
725.00,inbound,weigh_in,truck=3
740.00,press,pallet_done,pallet=2;buffer=0
745.00,inbound,unloaded,truck=3
750.00,inbound,depart,truck=3
775.00,sorting,sort_done,truck=3
780.00,inbound,arrive,truck=4
782.50,press,pallet_done,pallet=3;buffer=0
785.00,inbound,weigh_in,truck=4
805.00,inbound,unloaded,truck=4
810.00,inbound,depart,truck=4
821.81,outbound,depart,truck=1;load_kind=flake;ton=0.0
825.00,press,pallet_done,pallet=4;buffer=0
835.00,sorting,sort_done,truck=4
840.00,inbound,arrive,truck=5
845.00,inbound,weigh_in,truck=5
855.00,outbound,depart,truck=2;load_kind=flake;ton=0.0
865.00,inbound,unloaded,truck=5
867.50,press,pallet_done,pallet=5;buffer=0
870.00,inbound,depart,truck=5
895.00,sorting,sort_done,truck=5
900.00,inbound,arrive,truck=6
905.00,inbound,weigh_in,truck=6
910.00,press,pallet_done,pallet=6;buffer=0
921.23,outbound,arrive,truck=4;load_kind=flake
925.00,inbound,unloaded,truck=6
931.23,inbound,depart,truck=6
952.50,press,pallet_done,pallet=7;buffer=0
955.00,sorting,sort_done,truck=6
960.00,inbound,arrive,truck=7
965.00,inbound,weigh_in,truck=7
970.56,outbound,arrive,truck=5;load_kind=flake
975.00,outbound,depart,truck=3;load_kind=scr;ton=0.0
985.00,inbound,unloaded,truck=7
990.00,inbound,depart,truck=7
992.76,outbound,arrive,truck=6;load_kind=scr
995.00,press,pallet_done,pallet=8;buffer=0
995.18,outbound,arrive,truck=7;load_kind=flake
1015.00,sorting,sort_done,truck=7
1020.00,inbound,arrive,truck=8
1025.00,inbound,weigh_in,truck=8
1037.50,press,pallet_done,pallet=9;buffer=0
1045.00,inbound,unloaded,truck=8
1050.00,inbound,depart,truck=8
1075.00,sorting,sort_done,truck=8
1080.00,inbound,arrive,truck=9
1080.00,press,pallet_done,pallet=10;buffer=0
1085.00,inbound,weigh_in,truck=9
1089.63,outbound,arrive,truck=8;load_kind=scr
1105.00,inbound,unloaded,truck=9
1110.00,inbound,depart,truck=9
1112.05,outbound,arrive,truck=9;load_kind=scr
1122.50,press,pallet_done,pallet=11;buffer=0
1135.00,sorting,sort_done,truck=9
1140.00,inbound,arrive,truck=10
1145.00,inbound,weigh_in,truck=10
1165.00,inbound,unloaded,truck=10
1165.00,press,pallet_done,pallet=12;buffer=0
1170.00,inbound,depart,truck=10
1175.00,outbound,depart,truck=4;load_kind=flake;ton=0.0
1195.00,sorting,sort_done,truck=10
1207.50,press,pallet_done,pallet=13;buffer=0
1225.00,outbound,depart,truck=5;load_kind=flake;ton=0.0
1242.76,outbound,depart,truck=6;load_kind=scr;ton=0.0
1247.76,outbound,depart,truck=7;load_kind=flake;ton=0.0
1250.00,press,pallet_done,pallet=14;buffer=0
1261.24,outbound,arrive,truck=10;load_kind=flake
1292.50,press,pallet_done,pallet=15;buffer=0
1335.00,press,pallet_done,pallet=16;buffer=0
1339.63,outbound,depart,truck=8;load_kind=scr;ton=0.0
1362.05,outbound,depart,truck=9;load_kind=scr;ton=0.0
1377.50,press,pallet_done,pallet=17;buffer=0
1408.75,outbound,arrive,truck=11;load_kind=scr
1420.00,press,pallet_done,pallet=18;buffer=0
1446.18,outbound,arrive,truck=12;load_kind=flake
1462.50,press,pallet_done,pallet=19;buffer=0
1505.00,press,pallet_done,pallet=20;buffer=0
1511.24,outbound,depart,truck=10;load_kind=flake;ton=0.0
1547.50,press,pallet_done,pallet=21;buffer=0
1590.00,press,pallet_done,pallet=22;buffer=0
1632.50,press,pallet_done,pallet=23;buffer=0
1658.75,outbound,depart,truck=11;load_kind=scr;ton=0.0
1675.00,press,pallet_done,pallet=24;buffer=0
1696.18,outbound,depart,truck=12;load_kind=flake;ton=0.0
1717.50,press,pallet_done,pallet=25;buffer=0
1729.82,outbound,arrive,truck=13;load_kind=scr
1738.58,outbound,arrive,truck=14;load_kind=flake
1760.00,press,pallet_done,pallet=26;buffer=0
1802.50,press,pallet_done,pallet=27;buffer=0
1845.00,press,pallet_done,pallet=28;buffer=0
1887.50,press,pallet_done,pallet=29;buffer=0
1907.83,outbound,arrive,truck=15;load_kind=scr
1930.00,press,pallet_done,pallet=30;buffer=0
1972.50,press,pallet_done,pallet=31;buffer=0
1979.82,outbound,depart,truck=13;load_kind=scr;ton=0.0
1988.58,outbound,depart,truck=14;load_kind=flake;ton=0.0
2015.00,press,pallet_done,pallet=32;buffer=0
2040.00,inbound,arrive,truck=11
2045.00,inbound,weigh_in,truck=11
2055.94,outbound,arrive,truck=16;load_kind=scr
2057.50,press,pallet_done,pallet=33;buffer=0
2065.00,inbound,unloaded,truck=11
2070.00,inbound,depart,truck=11
2095.00,sorting,sort_done,truck=11
2100.00,inbound,arrive,truck=12
2100.00,press,pallet_done,pallet=34;buffer=0
2105.00,inbound,weigh_in,truck=12
2125.00,inbound,unloaded,truck=12
2125.10,outbound,arrive,truck=17;load_kind=scr
2130.00,inbound,depart,truck=12
2142.50,press,pallet_done,pallet=35;buffer=0
2155.00,sorting,sort_done,truck=12
2157.83,outbound,depart,truck=15;load_kind=scr;ton=0.0
2160.00,inbound,arrive,truck=13
2165.00,inbound,weigh_in,truck=13
2167.91,outbound,arrive,truck=18;load_kind=scr
2185.00,inbound,unloaded,truck=13
2185.00,press,pallet_done,pallet=36;buffer=0
2190.00,inbound,depart,truck=13
2215.00,sorting,sort_done,truck=13
2220.00,inbound,arrive,truck=14
2225.00,inbound,weigh_in,truck=14
2227.50,press,pallet_done,pallet=37;buffer=0
2245.00,inbound,unloaded,truck=14
2250.00,inbound,depart,truck=14
2270.00,press,pallet_done,pallet=38;buffer=0
2275.00,sorting,sort_done,truck=14
2280.00,inbound,arrive,truck=15
2285.00,inbound,weigh_in,truck=15
2305.00,inbound,unloaded,truck=15
2305.94,outbound,depart,truck=16;load_kind=scr;ton=0.0
2310.94,inbound,depart,truck=15
2312.50,press,pallet_done,pallet=39;buffer=0
2327.07,outbound,arrive,truck=19;load_kind=scr
2335.00,sorting,sort_done,truck=15
2340.00,inbound,arrive,truck=16
2345.00,inbound,weigh_in,truck=16
2355.00,press,pallet_done,pallet=40;buffer=0
2365.00,inbound,unloaded,truck=16
2370.00,inbound,depart,truck=16
2380.00,outbound,depart,truck=17;load_kind=scr;ton=0.0
2395.00,sorting,sort_done,truck=16
2397.50,press,pallet_done,pallet=41;buffer=0
2400.00,inbound,arrive,truck=17
2405.00,inbound,weigh_in,truck=17
2417.91,outbound,depart,truck=18;load_kind=scr;ton=0.0
2425.00,inbound,unloaded,truck=17
2430.00,inbound,depart,truck=17
2440.00,press,pallet_done,pallet=42;buffer=0
2455.00,sorting,sort_done,truck=17
2460.00,inbound,arrive,truck=18
2465.00,inbound,weigh_in,truck=18
2482.50,press,pallet_done,pallet=43;buffer=0
2485.00,inbound,unloaded,truck=18
2490.00,inbound,depart,truck=18
2505.12,outbound,arrive,truck=20;load_kind=scr
2515.00,sorting,sort_done,truck=18
2520.00,inbound,arrive,truck=19
2525.00,inbound,weigh_in,truck=19
2525.00,press,pallet_done,pallet=44;buffer=0
2545.00,inbound,unloaded,truck=19
2550.00,inbound,depart,truck=19
2567.50,press,pallet_done,pallet=45;buffer=0
2575.00,sorting,sort_done,truck=19
2577.07,outbound,depart,truck=19;load_kind=scr;ton=0.0
2580.00,inbound,arrive,truck=20
2585.00,inbound,weigh_in,truck=20
2605.00,inbound,unloaded,truck=20
2610.00,inbound,depart,truck=20
2610.00,press,pallet_done,pallet=46;buffer=0
2614.86,outbound,arrive,truck=21;load_kind=flake
2635.00,sorting,sort_done,truck=20
2638.14,outbound,arrive,truck=22;load_kind=flake
2645.62,outbound,arrive,truck=23;load_kind=flake
2652.50,press,pallet_done,pallet=47;buffer=0
2655.21,outbound,arrive,truck=24;load_kind=flake
2695.00,press,pallet_done,pallet=48;buffer=0
2737.50,press,pallet_done,pallet=49;buffer=0
2746.08,outbound,arrive,truck=25;load_kind=scr
2756.08,outbound,depart,truck=20;load_kind=scr;ton=0.0
2780.00,press,pallet_done,pallet=50;buffer=0
2787.69,outbound,arrive,truck=26;load_kind=flake
2815.64,outbound,arrive,truck=27;load_kind=scr
2822.50,press,pallet_done,pallet=51;buffer=0
2864.86,outbound,depart,truck=21;load_kind=flake;ton=0.0
2865.00,press,pallet_done,pallet=52;buffer=0
2888.14,outbound,depart,truck=22;load_kind=flake;ton=0.0
2895.62,outbound,depart,truck=23;load_kind=flake;ton=0.0
2905.21,outbound,depart,truck=24;load_kind=flake;ton=0.0
2907.50,press,pallet_done,pallet=53;buffer=0
2909.62,outbound,arrive,truck=28;load_kind=scr
2926.52,outbound,arrive,truck=29;load_kind=scr
2942.57,outbound,arrive,truck=30;load_kind=scr
2950.00,press,pallet_done,pallet=54;buffer=0
2992.50,press,pallet_done,pallet=55;buffer=0
2996.08,outbound,depart,truck=25;load_kind=scr;ton=0.0
3035.00,press,pallet_done,pallet=56;buffer=0
3037.69,outbound,depart,truck=26;load_kind=flake;ton=0.0
3065.64,outbound,depart,truck=27;load_kind=scr;ton=0.0
3077.50,press,pallet_done,pallet=57;buffer=0
3120.00,press,pallet_done,pallet=58;buffer=0
3159.62,outbound,depart,truck=28;load_kind=scr;ton=0.0
3162.50,press,pallet_done,pallet=59;buffer=0
3176.52,outbound,depart,truck=29;load_kind=scr;ton=0.0
3192.57,outbound,depart,truck=30;load_kind=scr;ton=0.0
3205.00,press,pallet_done,pallet=60;buffer=0
3247.50,press,pallet_done,pallet=61;buffer=0
3290.00,press,pallet_done,pallet=62;buffer=0
3332.50,press,pallet_done,pallet=63;buffer=0
3332.50,melting,batch_collected,furnace=1;pallets=32
3352.85,outbound,arrive,truck=31;load_kind=scr
3375.00,press,pallet_done,pallet=64;buffer=0
3375.00,melting,batch_collected,furnace=2;pallets=32
3417.50,press,pallet_done,pallet=65;buffer=1
3426.11,outbound,arrive,truck=32;load_kind=scr
3460.00,press,pallet_done,pallet=66;buffer=2
3480.00,inbound,arrive,truck=21
3485.00,inbound,weigh_in,truck=21
3502.50,press,pallet_done,pallet=67;buffer=3
3505.00,inbound,unloaded,truck=21
3510.00,inbound,depart,truck=21
3535.00,sorting,sort_done,truck=21
3540.00,inbound,arrive,truck=22
3545.00,inbound,weigh_in,truck=22
3545.00,press,pallet_done,pallet=68;buffer=4
3565.00,inbound,unloaded,truck=22
3570.00,inbound,depart,truck=22
3587.50,press,pallet_done,pallet=69;buffer=5
3592.67,outbound,arrive,truck=33;load_kind=scr
3595.00,sorting,sort_done,truck=22
3600.00,inbound,arrive,truck=23
3602.50,melting,elevator_done,furnace=1;trips=16
3602.85,outbound,depart,truck=31;load_kind=scr;ton=0.0
3607.85,inbound,weigh_in,truck=23
3616.08,outbound,arrive,truck=34;load_kind=flake
3627.85,inbound,unloaded,truck=23
3630.00,press,pallet_done,pallet=70;buffer=6
3632.85,inbound,depart,truck=23
3650.19,outbound,arrive,truck=35;load_kind=flake
3652.50,melting,elevator_done,furnace=2;trips=16
3657.85,sorting,sort_done,truck=23
3660.00,inbound,arrive,truck=24
3665.00,inbound,weigh_in,truck=24
3671.51,outbound,arrive,truck=36;load_kind=scr
3672.50,press,pallet_done,pallet=71;buffer=7
3676.11,outbound,depart,truck=32;load_kind=scr;ton=0.0
3685.00,inbound,unloaded,truck=24
3690.00,inbound,depart,truck=24
3715.00,sorting,sort_done,truck=24
3715.00,press,pallet_done,pallet=72;buffer=8
3720.00,inbound,arrive,truck=25
3722.50,melting,melt_start,furnace=1
3725.00,inbound,weigh_in,truck=25
3745.00,inbound,unloaded,truck=25
3750.00,inbound,depart,truck=25
3757.50,press,pallet_done,pallet=73;buffer=9
3772.50,melting,melt_start,furnace=2
3775.00,sorting,sort_done,truck=25
3780.00,inbound,arrive,truck=26
